sample_id,Diet,Sex,Wave,BMI_17wk,TC_18wk
DO1260,HC/LF,Male,7,3.892733564,175.9550562
DO1261,HF/LC,Male,7,3.615014793,89.89010989
DO1262,HC/LF,Female,8,2.550760127,62.81914894
DO1263,HF/LC,Female,8,2.306805075,92.09677419
DO1264,HC/LF,Female,8,2.613018846,60
DO1265,HF/LC,Female,8,2.652790532,66.75531915
DO1266,HC/LF,Female,8,2.8033241,63.85869565
DO1267,HF/LC,Female,8,2.274784971,72.33333333
DO1268,HC/LF,Female,8,2.360813029,60.98901099
DO1269,HF/LC,Female,8,2.42,62.60869565
DO1270,HC/LF,Female,8,2.518078512,56.75531915
DO1271,HF/LC,Female,8,3.125,109.3085106
DO1272,HC/LF,Female,8,2.81603918,77.83333333
DO1273,HF/LC,Female,8,2.814814815,
DO1274,HC/LF,Female,8,2.300844028,66.76136364
DO1275,HF/LC,Female,8,2.508236795,84.94318182
DO1276,HC/LF,Female,8,2.811328613,86.75531915
DO1277,HF/LC,Female,8,3.03,77.03296703
DO1278,HC/LF,Female,8,2.613494377,58.27956989
DO1279,HF/LC,Female,8,3.102873803,101.6483516
DO1280,HC/LF,Female,8,2.422022684,65.44444444
DO1281,HF/LC,Female,8,2.484809028,95.32608696
DO1282,HC/LF,Female,8,3.102873803,67.1978022
DO1283,HF/LC,Female,8,2.224392361,46.26373626
DO1284,HC/LF,Female,8,2.495659722,116.0555556
DO1285,HF/LC,Female,8,2.592669721,129.0625
DO1286,HC/LF,Female,8,2.391327452,60.51136364
DO1287,HF/LC,Female,8,2.856851342,83.06451613
DO1288,HC/LF,Female,8,2.526315789,67.8021978
DO1289,HF/LC,Female,8,2.891966759,90.32967033
DO1290,HC/LF,Female,8,3.468144044,117.9787234
DO1291,HF/LC,Female,8,3.018386651,113.2631579
DO1293,HF/LC,Female,8,2.632384451,115.0561798
DO1294,HC/LF,Female,8,2.71468144,50.98901099
DO1295,HF/LC,Female,8,2.686011175,86.75824176
DO1296,HC/LF,Female,8,2.455862381,60.81521739
DO1297,HF/LC,Female,8,2.526315789,70.74468085
DO1298,HC/LF,Female,8,2.308736985,60.49450549
DO1299,HF/LC,Female,8,2.571614583,74.07608696
DO1300,HC/LF,Female,8,2.283950617,71.59340659
DO1301,HF/LC,Female,8,3.002770083,77.19101124
DO1303,HF/LC,Female,8,2.55,78.45744681
DO1304,HC/LF,Female,8,3.124667871,104.1011236
DO1305,HF/LC,Female,8,2.305887154,101.8681319
DO1306,HC/LF,Female,8,2.652790532,86.81318681
DO1307,HF/LC,Female,8,2.37,135.6741573
DO1308,HC/LF,Female,8,2.403619568,70.94736842
DO1309,HF/LC,Female,8,2.682391028,128.021978
DO1310,HC/LF,Female,8,2.342689,109.6354167
DO1311,HF/LC,Female,8,2.582633649,67.93478261
DO1312,HC/LF,Male,8,2.81,142.8571429
DO1313,HF/LC,Male,8,2.893860947,79.72527473
DO1314,HC/LF,Male,8,2.832153269,135.1136364
DO1315,HF/LC,Male,8,3.729085084,85.26595745
DO1316,HC/LF,Male,8,3.056516724,65
DO1317,HF/LC,Male,8,3.287197232,119.7802198
DO1318,HC/LF,Male,8,2.524237925,91.85393258
DO1319,HF/LC,Male,8,4.15,105.1630435
DO1320,HC/LF,Male,8,2.98,79.06593407
DO1321,HF/LC,Male,8,3.210303729,117.4456522
DO1322,HC/LF,Male,8,2.6,107.6086957
DO1323,HF/LC,Male,8,3.114186851,55.26595745
DO1324,HC/LF,Male,8,3.363182007,151.8478261
DO1325,HF/LC,Male,8,3.12465374,92.11111111
DO1326,HC/LF,Male,8,3.300708038,110.2840909
DO1327,HF/LC,Male,8,3.029114793,76.11702128
DO1328,HC/LF,Male,8,3.53,206.8888889
DO1329,HF/LC,Male,8,2.922733553,92.77173913
DO1330,HC/LF,Male,8,3.03030303,118.4574468
DO1331,HF/LC,Male,8,2.8,107.3595506
DO1332,HC/LF,Male,8,3.497942387,100.0549451
DO1333,HF/LC,Male,8,3.082288623,77.39583333
DO1334,HC/LF,Male,8,3.855399408,98.49462366
DO1335,HF/LC,Male,8,3.476331361,62.52747253
DO1336,HC/LF,Female,8,2.799479167,98.69565217
DO1337,HF/LC,Male,8,3.358486555,109.7802198
DO1338,HC/LF,Male,8,2.729206049,55.16483516
DO1339,HF/LC,Male,8,3.910872781,115.0549451
DO1340,HC/LF,Male,8,3.066128412,96.11702128
DO1341,HF/LC,Male,8,3.25,73.22580645
DO1342,HC/LF,Male,8,2.76,63.18681319
DO1344,HC/LF,Male,8,2.537485582,68.61702128
DO1345,HF/LC,Male,8,3.025732868,100
DO1346,HC/LF,Male,8,3.294717823,125.4395604
DO1347,HF/LC,Male,8,2.997130407,116.741573
DO1348,HC/LF,Male,8,3.400999043,
DO1349,HF/LC,Male,8,3.744515866,77.34042553
DO1350,HC/LF,Male,8,3.021729289,54.42105263
DO1351,HF/LC,Male,8,3.295582083,99.7826087
DO1352,HC/LF,Male,8,3.44,119.0659341
